stageNum,categoryname,ImageName,DropColorCount,EndingAnimationNum
1,Test,TopSpin,0,1
2,Test,Slime,2,1
3,Test,Bottle,3,1
4,Test,Ascetic,3,1
5,Test,GamePlug1,1,1
6,foods,AppleWorm,4,1
7,foods,Avocado,10,1
8,foods,Bacon,0,1
9,foods,Beer,0,1
10,foods,Boar,0,1
11,foods,Bread,0,1
12,foods,Brownie,0,1
13,foods,Bug,0,1
14,foods,Cheese,0,1
15,foods,Cherry,0,1
16,foods,Chicken,0,1
17,foods,ChickenLeg,0,1
18,foods,Cookie,0,1
19,foods,DragonFruit,0,1
20,foods,Eggplant,0,1
21,foods,Eggs,0,1
22,foods,Fish,0,1
23,foods,FishFillet,0,1
24,foods,FishSteak,0,1
25,foods,Grub,0,1
26,foods,Grubs,0,1
27,foods,Honey,0,1
28,foods,Honeycomb,0,1
29,foods,Jam,0,1
30,foods,Jerky,0,1
31,foods,Lemon,0,1
32,foods,Marmalade,0,1
33,foods,MelonCantaloupe,0,1
34,foods,MelonHoneydew,0,1
35,foods,MelonWater,0,1
36,foods,Moonshine,0,1
37,foods,Olive,0,1
38,foods,Onion,0,1
39,foods,Peach,0,1
40,foods,PepperGreen,0,1
41,foods,Pepperoni,0,1
42,foods,PepperRed,0,1
43,foods,Pickle,0,1
44,foods,PickledEggs,0,1
45,foods,PieApple,0,1
46,foods,PieLemon,0,1
47,foods,PiePumpkin,0,1
48,foods,Pineapple,0,1
49,foods,Potato,0,1
50,foods,PotatoRed,0,1
51,foods,Pretzel,0,1
52,foods,Ribs,0,1
53,foods,Roll,0,1
54,foods,Saki,0,1
55,foods,Sardines,0,1
56,foods,Sashimi,0,1
57,foods,Sausages,0,1
58,foods,Shrimp,0,1
59,foods,Steak,0,1
60,foods,Stein,0,1
61,foods,Strawberry,0,1
62,foods,Sushi,0,1
63,foods,Tart,0,1
64,foods,Tomato,0,1
65,foods,Turnip,0,1
66,foods,Waffles,0,1
67,foods,Whiskey,0,1
68,foods,Wine,0,1
69,fruits,Apple,0,1
70,fruits,Banana,0,1
71,fruits,kiwi,0,1
72,fruits,Melon,0,1
73,fruits,Orange,0,1
74,fruits,Pineapple,0,1
75,fruits,Strawberry,0,1
76,snack,cake,0,1
77,snack,candy-apple,0,1
78,snack,chewing-gum,0,1
79,snack,chocolate-bar,0,1
80,snack,cookie,0,1
81,snack,cotton-candy,0,1
82,snack,cream-cookie,0,1
83,snack,cupcake,0,1
84,snack,donnut,0,1
85,snack,dutch-pie,0,1
86,snack,eclair,0,1
87,snack,gingerbread-man,0,1
88,snack,gum-drops,0,1
89,snack,gummy-bear,0,1
90,snack,heart-lollipop,0,1
91,snack,ice-cream,0,1
92,snack,jelly,0,1
93,snack,lollipop,0,1
94,snack,macaron,0,1
95,snack,milkshake,0,1
96,snack,muffin,0,1
97,snack,popsicle,0,1
98,snack,sugar-candy,0,1
99,snack,sweet-roll,0,1
100,snack,swiss-roll,0,1
101,etc,big-crate,0,1
102,etc,crate,0,1
103,etc,door,0,1
104,etc,gem,0,1
105,etc,saw,0,1
106,char,blue_bird,0,1
107,char,cactus,0,1
108,char,chameleon,0,1
109,char,chicken,0,1
110,char,frog,0,1
111,char,ghost,0,1
112,char,green_boy,0,1
113,char,mask_man,0,1
114,char,ninja_frog,0,1
115,char,pig,0,1
116,char,plant,0,1
117,char,Rock,0,1
118,char,snail,0,1
119,char,yellow_bird,0,1
120,char,Whale,0,1
121,char,Welcome,0,1
